iter	Passed	Remaining
405	4984	7293
406	4994	7276
407	5006	7263
408	5018	7251
409	5029	7237
410	5042	7225
411	5056	7216
412	5071	7207
413	5084	7196
414	5097	7185
415	5108	7171
416	5122	7161
417	5134	7148
418	5145	7134
419	5155	7119
420	5169	7110
421	5184	7100
422	5197	7089
423	5207	7074
424	5220	7062
425	5234	7052
426	5246	7040
427	5258	7027
428	5270	7015
429	5283	7003
430	5296	6992
431	5305	6975
432	5316	6961
433	5329	6950
434	5338	6934
435	5350	6921
436	5361	6907
437	5369	6890
438	5382	6878
439	5393	6864
440	5403	6849
441	5415	6836
442	5426	6822
443	5435	6806
444	5446	6792
445	5455	6777
446	5515	6823
447	5530	6814
448	5551	6813
449	5563	6799
450	5574	6785
451	5584	6770
452	5595	6756
453	5606	6742
454	5615	6726
455	5627	6713
456	5638	6699
457	5648	6684
458	5661	6672
459	5676	6663
460	5688	6650
461	5697	6635
462	5710	6623
463	5724	6612
464	5736	6600
465	5747	6586
466	5760	6574
467	5772	6562
468	5784	6549
469	5795	6535
470	5810	6526
471	5825	6516
472	5838	6505
473	5851	6492
474	5861	6478
475	5874	6467
476	5891	6459
477	5904	6448
478	5916	6435
479	5926	6420
480	5936	6405
481	5945	6389
482	5956	6375
483	5967	6361
484	5976	6346
485	5989	6334
486	5999	6319
487	6008	6303
488	6019	6290
489	6027	6273
490	6038	6259
491	6047	6244
492	6056	6228
493	6066	6213
494	6075	6198
495	6087	6185
496	6097	6170
497	6105	6154
498	6116	6140
499	6125	6125
500	6136	6112
501	6147	6098
502	6157	6083
503	6168	6071
504	6180	6058
505	6189	6043
506	6201	6030
507	6216	6020
508	6235	6015
509	6251	6006
510	6266	5996
511	6277	5982
512	6295	5976
513	6309	5965
514	6325	5957
515	6338	5945
516	6350	5932
517	6363	5921
518	6376	5909
519	6385	5894
520	6397	5881
521	6409	5869
522	6419	5855
523	6435	5845
524	6447	5833
525	6460	5821
526	6471	5808
527	6485	5797
528	6497	5785
529	6508	5771
530	6517	5756
531	6529	5743
532	6541	5731
533	6550	5716
534	6562	5703
535	6572	5689
536	6582	5675
537	6593	5662
538	6604	5648
539	6615	5635
540	6628	5623
541	6641	5612
542	6650	5597
543	6663	5585
544	6676	5573
545	6687	5560
546	6697	5546
547	6710	5534
548	6724	5524
549	6738	5513
550	6748	5499
551	6761	5487
552	6772	5474
553	6782	5460
554	6802	5454
555	6812	5440
556	6825	5428
557	6835	5414
558	6844	5399
559	6856	5386
560	6864	5371
561	6874	5357
562	6884	5343
563	6892	5328
564	6902	5313
565	6909	5298
566	6920	5285
567	6928	5269
568	6939	5256
569	6949	5242
570	6957	5227
571	6967	5213
572	6975	5198
573	6986	5185
574	6994	5170
575	7004	5156
576	7015	5142
577	7025	5129
578	7038	5117
579	7049	5105
580	7060	5091
581	7072	5079
582	7086	5068
583	7099	5057
584	7114	5047
585	7124	5033
586	7136	5021
587	7149	5009
588	7163	4998
589	7172	4984
590	7185	4972
591	7199	4961
592	7208	4947
593	7217	4933
594	7229	4920
595	7237	4905
596	7249	4893
597	7258	4879
598	7266	4864
599	7276	4850
600	7284	4836
601	7293	4822
602	7301	4807
603	7311	4793
604	7320	4779
605	7330	4765
606	7338	4751
607	7348	4737
608	7358	4724
609	7366	4709
610	7377	4696
611	7385	4682
612	7395	4669
613	7405	4655
614	7414	4641
615	7424	4628
616	7432	4613
617	7441	4599
618	7448	4584
619	7459	4571
620	7467	4557
621	7477	4543
622	7484	4529
623	7494	4516
624	7505	4503
625	7513	4489
626	7524	4476
627	7532	4462
628	7543	4449
629	7553	4436
630	7563	4423
631	7576	4411
632	7591	4401
633	7604	4390
634	7615	4377
635	7627	4365
636	7639	4353
637	7655	4343
638	7664	4330
639	7676	4318
640	7689	4306
641	7702	4295
642	7712	4282
643	7726	4271
644	7738	4259
645	7749	4246
646	7760	4233
647	7771	4221
648	7783	4209
649	7793	4196
650	7805	4184
651	7816	4172
652	7825	4158
653	7836	4145
654	7844	4131
655	7855	4119
656	7865	4106
657	7874	4092
658	7883	4079
659	7891	4065
660	7903	4053
661	7910	4039
662	7920	4025
663	7929	4012
664	7937	3998
665	7948	3986
666	7956	3972
667	7966	3959
668	7975	3945
669	7986	3933
670	7997	3921
671	8005	3907
672	8018	3896
673	8032	3884
674	8041	3871
675	8054	3860
676	8066	3848
677	8079	3837
678	8089	3824
679	8105	3814
680	8117	3802
681	8128	3790
682	8138	3777
683	8151	3765
684	8165	3754
685	8177	3742
686	8187	3730
687	8198	3718
688	8209	3705
689	8218	3692
690	8230	3680
691	8240	3667
692	8250	3655
693	8262	3643
694	8271	3629
695	8283	3618
696	8295	3606
697	8311	3596
698	8324	3584
699	8334	3571
700	8347	3560
701	8362	3549
702	8376	3538
703	8390	3527
704	8402	3515
705	8418	3505
706	8438	3497
707	8451	3485
708	8465	3474
709	8482	3464
710	8496	3453
711	8507	3441
712	8516	3427
713	8528	3416
714	8541	3404
715	8551	3391
716	8562	3379
717	8573	3367
718	8583	3354
719	8595	3342
720	8608	3331
721	8619	3318
722	8629	3306
723	8642	3294
724	8652	3281
725	8662	3269
726	8672	3256
727	8680	3243
728	8690	3230
729	8699	3217
730	8708	3204
731	8718	3191
732	8726	3178
733	8735	3165
734	8745	3153
735	8755	3140
736	8763	3127
737	8773	3114
738	8782	3101
739	8791	3088
740	8802	3076
741	8810	3063
742	8820	3051
743	8829	3037
744	8840	3025
745	8850	3013
746	8858	3000
747	8868	2987
748	8876	2974
749	8888	2962
750	8898	2950
751	8906	2937
752	8916	2924
753	8924	2911
754	8934	2899
755	8943	2886
756	8955	2874
757	8969	2863
758	8978	2851
759	8987	2838
760	8997	2825
761	9005	2812
762	9014	2800
763	9022	2787
764	9033	2774
765	9041	2761
766	9051	2749
767	9061	2737
768	9070	2724
769	9083	2713
770	9096	2701
771	9111	2690
772	9128	2680
773	9139	2668
774	9156	2658
775	9168	2646
776	9178	2634
777	9190	2622
778	9199	2609
779	9209	2597
780	9217	2584
781	9228	2572
782	9238	2560
783	9246	2547
784	9255	2535
785	9264	2522
786	9274	2510
787	9283	2497
788	9293	2485
789	9301	2472
790	9311	2460
791	9321	2447
792	9329	2435
793	9338	2422
794	9346	2410
795	9356	2397
796	9364	2385
797	9373	2372
798	9381	2360
799	9391	2347
800	9399	2335
801	9411	2323
802	9420	2311
803	9429	2298
804	9438	2286
805	9446	2273
806	9457	2261
807	9465	2249
808	9475	2237
809	9486	2225
810	9495	2212
811	9507	2201
812	9515	2188
813	9526	2176
814	9539	2165
815	9550	2153
816	9560	2141
817	9570	2129
818	9579	2116
819	9589	2105
820	9599	2092
